FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
106,NSW0258,Eucalyptus sideroxylon,-32.82673186,147.416004,325,2448,24,68,65,11,44,16.9874992,12.5249996,42.8937988,609.9219971,30.6000004,1.4,29.2000008,24.4832993,9.4166698,24.4832993,9.4166698,529,66,30,19.7140999,152,113,152,113,0.900479,9.9964399
107,NSW0259,Eucalyptus sideroxylon,-32.84227928,147.4121246,314,2629,29,70,59,12,41,17.0249996,12.6000004,43.2989998,609.4840088,30.6000004,1.5,29.1000004,22.8332996,9.4499998,24.5167007,9.4499998,526,66,30,20.0142002,151,112,151,112,0.88945,11.2488003
108,NSW0260,Eucalyptus sideroxylon,-32.85297216,147.409622,320,3228,24,69,64,12,54,16.9666996,12.6000004,43.1506996,609.2999878,30.6000004,1.4,29.2000008,22.7667007,9.3999996,24.4666996,9.3999996,527,66,30,19.9234009,151,113,151,113,0.893767,11.4719
109,NSW0261,Eucalyptus sideroxylon,-32.8671069,147.4070275,307,2563,30,70,59,11,46,16.9916992,12.5832996,43.0936012,610.1480103,30.6000004,1.4,29.2000008,24.4832993,9.3999996,24.4832993,9.3999996,528,67,30,20.6298008,153,113,153,113,0.893528,14.1048002
110,NSW0263,Eucalyptus sideroxylon,-32.95312341,147.4140858,320,2118,26,68,62,12,42,16.9333,12.4167004,42.8161011,608.3599854,30.5,1.5,29,22.6833,9.3833303,24.3999996,9.3833303,529,67,31,20.2292004,152,114,152,114,0.889508,10.0268002
111,NSW0264,Eucalyptus sideroxylon,-32.9657588,147.3860872,285,1988,25,66,64,11,40,16.9874992,12.4417,42.4630013,611.132019,30.7000008,1.4,29.2999992,24.4832993,9.3999996,24.4832993,9.3999996,519,65,30,20.0312996,149,113,149,113,0.896538,12.5116997
112,J362,Eucalyptus sideroxylon,-33.42108,148.51126,513,1119,27,61,53,20,66,15.1917,10.1000004,41.3933983,522.1710205,26.6000004,2.2,24.3999996,11.5667,19.2332993,21.7332993,8.8500004,690,74,44,15.8104,193,144,182,176,0.908248,9.1731195
113,J421,Eucalyptus sideroxylon,-32.36597,148.23103,269,4032,32,72,55,12,40,17.5083008,12.6833,43.7355995,595.7299805,31.2000008,2.2,29,23.3332996,10.1167002,24.8500004,10.1167002,584,75,33,19.8267994,175,122,174,122,0.887593,10.6548996
114,J422,Eucalyptus sideroxylon,-32.22311,148.66797,339,2825,29,67,57,14,47,17.0417004,12.8832998,44.733799,585.3430176,30.6000004,1.8,28.7999992,22.7833004,9.71667,24.2166996,9.71667,638,78,38,17.9480991,189,136,189,136,0.89015,11.1745996
115,NSW0170,Eucalyptus sideroxylon,-32.1584081,148.6588052,335,2755,30,68,57,13,46,17.0375004,13.1416998,44.8521004,591.9160156,30.7999992,1.5,29.2999992,22.8666992,9.6166697,24.2833004,9.6166697,633,78,38,18.1271,187,134,187,134,0.887274,9.96632
116,NSW0172,Eucalyptus sideroxylon,-32.05224576,148.5716864,294,3730,25,65,65,10,47,17.1875,12.8083,44.3195,592.3759766,30.7999992,1.9,28.8999996,23,9.7666702,24.4500008,9.7666702,610,75,35,19.0069008,182,125,181,125,0.896762,15.8606005
117,NSW0185,Eucalyptus sideroxylon,-32.11150758,149.2312073,395,2384,26,65,61,13,49,16.625,13.2166996,46.0511017,570.2529907,30.2000008,1.5,28.7000008,22.2332993,9.4833298,23.6000004,9.4833298,668,94,40,24.6063995,213,135,211,135,0.900057,10.1076002
118,NSW0186,Eucalyptus sideroxylon,-32.15090018,149.232789,395,2381,32,67,56,12,50,16.6124992,13.2749996,46.0937996,568.7269897,30.2000008,1.4,28.7999992,22.1833,9.4833298,23.5667,9.4833298,673,93,40,23.6387997,213,137,211,137,0.898674,9.9541597
119,NSW0189,Eucalyptus sideroxylon,-32.19448566,149.2754635,404,2368,33,66,52,15,47,16.5708008,13.0417004,45.9213982,564.9680176,29.8999996,1.5,28.3999996,22.1000004,13.2666998,23.4666996,9.4833298,680,95,40,24.2812004,216,137,213,139,0.88997,10.9021997
120,NSW0190,Eucalyptus sideroxylon,-32.32507914,148.7661722,410,3912,27,66,60,12,53,16.6833,12.4499998,44.3059998,575.0269775,29.8999996,1.8,28.1000004,22.2833004,13.3832998,23.7332993,9.4833298,658,80,39,17.6947994,196,142,191,142,0.89338,11.7595997
121,NSW0191,Eucalyptus sideroxylon,-32.30811099,148.775933,414,3620,30,63,59,11,55,16.5958004,12.5082998,44.6725998,571.507019,29.7000008,1.7,28,22.1333008,9.4333296,23.6000004,9.4333296,669,81,40,17.0699005,198,144,195,144,0.896709,10.4245005
122,NSW0197,Eucalyptus sideroxylon,-32.28249421,148.5633969,334,2836,24,66,65,11,52,16.9375,12.5916996,44.3368988,585.802002,30.2999992,1.9,28.3999996,22.6499996,9.6000004,24.1166992,9.6000004,642,79,38,17.8840008,188,140,186,140,0.905645,10.2084999
123,NSW0198,Eucalyptus sideroxylon,-32.46974886,148.3316664,387,2225,25,64,64,11,51,16.8208008,11.9917002,43.7652016,567.9169922,29.7000008,2.3,27.3999996,22.3167,13.5500002,23.8167,9.7666702,641,80,38,18.4011002,188,142,184,143,0.897975,11.1253996
124,NSW0199,Eucalyptus sideroxylon,-32.48218727,148.3199077,352,2514,22,66,65,13,47,16.9624996,12.0749998,43.5920982,571.6810303,30,2.3,27.7000008,22.5167007,13.6667004,24,9.8500004,629,78,37,18.1760006,184,139,180,140,0.890121,11.1877003
125,NSW0200,Eucalyptus sideroxylon,-32.51479162,148.2882391,325,3158,25,64,63,12,51,17.2833004,12.3999996,43.3566017,589.8129883,30.7999992,2.2,28.6000004,23.0499992,10.0166998,24.5832996,10.0166998,618,77,36,18.2245998,182,135,179,135,0.895911,10.8825998
126,NSW0201,Eucalyptus sideroxylon,-32.3788566,148.2295863,280,3761,32,72,55,13,39,17.4417,12.6167002,43.6562996,595.3640137,31.1000004,2.2,28.8999996,23.25,10.0667,24.7833004,10.0667,585,75,33,19.7525997,175,123,174,123,0.889435,10.8522997
127,NSW0202,Eucalyptus sideroxylon,-32.36638131,148.2309991,269,4032,32,72,55,12,40,17.5083008,12.6833,43.7355995,595.7299805,31.2000008,2.2,29,23.3332996,10.1167002,24.8500004,10.1167002,584,75,33,19.8267994,175,122,174,122,0.893519,10.7484999
128,J312,Eucalyptus sideroxylon,-30.60224,149.58173,275,4559,25,65,68,7,55,17.6208,14.1416998,46.5186005,598.6630249,32.2000008,1.8,30.3999996,24.7999992,9.96667,24.7999992,9.96667,663,112,35,37.7056999,241,124,241,124,0.893637,11.2488003
129,J416,Eucalyptus sideroxylon,-30.32322,149.26971,186,4483,32,72,57,11,31,19.2292004,13.0082998,45.3251991,580.5809937,33,4.3000002,28.7000008,26.1499996,11.8000002,26.1499996,11.8000002,609,98,33,34.5979004,216,115,216,115,0.892502,12.8582001
130,J418,Eucalyptus sideroxylon,-31.05012,149.23013,389,2309,24,61,64,12,56,16.7458,13.7082996,46.3119011,581.789978,30.8999996,1.3,29.6000004,22.4500008,9.3833303,23.7999992,9.3833303,711,117,41,33.7644997,249,140,244,140,0.899493,12.7262001
131,J367,Eucalyptus sideroxylon,-30.5285,151.15897,785,2398,38,68,44,18,52,14.7542,13.2917004,47.9844017,528.4990234,27.7999992,0.1,27.7000008,19.8999996,11.6833,21.0333004,7.8833299,759,101,34,34.145401,281,116,270,136,0.896355,10.2903004
132,J401,Eucalyptus sideroxylon,-30.44023,151.25069,738,2164,29,61,53,18,57,14.875,12.9167004,47.3138008,523.3909912,27.7000008,0.4,27.2999992,19.9666996,11.8667002,21.0667,8.0500002,735,107,27,38.6460991,282,103,270,121,0.905625,10.2838001
133,J425i,Eucalyptus sideroxylon,-30.30756,151.20671,710,3186,38,66,43,19,56,15.2542,13.6917,48.5519981,532.4530029,28.6000004,0.4,28.2000008,20.4500008,12.1332998,21.5499992,8.3333302,763,105,30,38.2050018,291,111,286,125,0.897836,10.1306
134,NSW0106,Eucalyptus sideroxylon,-31.3407138,150.8736165,490,1937,37,68,43,20,54,16.3500004,14.3000002,49.480999,538.9169922,30,1.1,28.8999996,22.7833004,16.9333,22.7833004,9.4166698,753,114,42,31.6431999,265,141,265,155,0.89141,11.4959002
135,NSW0369,Eucalyptus sideroxylon,-30.26379188,150.7287346,683,2805,37,66,42,20,57,15.3874998,13.1583004,47.1624985,542.1259766,28.5,0.6,27.8999996,21.8500004,12.2833004,21.8500004,8.3999996,793,114,41,33.299099,288,140,288,151,0.886076,10.9604998
136,NSW0370,Eucalyptus sideroxylon,-30.26340497,150.7291427,683,2700,36,65,43,21,59,15.3874998,13.1583004,47.1624985,542.1259766,28.5,0.6,27.8999996,21.8500004,12.2833004,21.8500004,8.3999996,793,114,41,33.299099,288,140,288,151,0.888072,10.4813995
137,NSW0375,Eucalyptus sideroxylon,-30.29369935,150.7947231,564,2441,36,65,44,20,55,15.9666996,13.6999998,47.9020996,548.3709717,29.6000004,1,28.6000004,22.5,12.7166996,22.5,8.9166698,782,111,40,33.3853989,285,138,285,143,0.902284,9.8562899
138,NSW0401,Eucalyptus sideroxylon,-30.26361535,151.1715356,705,2815,31,63,52,17,65,15.2208004,13.7082996,48.4393005,534.6729736,28.6000004,0.3,28.2999992,20.4500008,12.0832996,21.5499992,8.2666702,773,104,32,37.1794014,293,117,288,129,0.887304,10.2932997
139,NSW0402,Eucalyptus sideroxylon,-30.26444005,151.1739639,698,2839,33,64,51,16,63,15.2208004,13.7082996,48.4393005,534.6729736,28.6000004,0.3,28.2999992,20.4500008,12.0832996,21.5499992,8.2666702,773,104,32,37.1794014,293,117,288,129,0.889387,13.3929996
