FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
168,LBM03E04,Eucalyptus melliodora,-33.710145,149.52355,977,2560,29,64,51,20,97,11.8583002,11.3332996,43.7579994,518.9140015,24,-1.9,25.8999996,8.6000004,12.3167,18.3167,5.4499998,821,92,51,17.2591991,232,164,223,214,0.916488,8.9792805
169,NSW0016,Eucalyptus melliodora,-32.98264531,149.7389758,857,1699,27,64,52,21,60,12.9958,10.8249998,42.4510002,509.3059998,25.1000004,-0.4,25.5,19.3500004,10,19.3500004,6.6833301,805,91,48,16.4211006,233,163,233,183,0.889222,9.5906096
170,NSW0017,Eucalyptus melliodora,-33.05459281,149.6923205,615,1970,35,66,46,19,65,13.9875002,11.8083,43.7346001,530.0650024,26.7000008,-0.3,27,20.5667,10.6999998,20.5667,7.3666701,693,81,38,19.1905994,208,133,208,147,0.911325,9.9207697
171,NSW0018,Eucalyptus melliodora,-33.29176018,149.5713342,718,2348,32,66,47,20,66,13.3708,12.2082996,45.2159996,528.8469849,26.1000004,-0.9,27,19.9666996,10.2166996,19.9666996,6.8166699,718,84,40,19.0137005,215,137,215,157,0.893395,13.6204004
172,NSW0019,Eucalyptus melliodora,-33.24703988,149.5812118,612,2329,31,68,52,17,58,14.1875,12.2582998,44.5758018,538.7659912,27.1000004,-0.4,27.5,20.8666992,10.8667002,20.8666992,7.4833298,680,81,38,20.0237007,207,129,207,144,0.890402,9.9028397
173,NSW0020,Eucalyptus melliodora,-33.16065146,149.5911186,633,1646,31,64,49,20,55,14.0583,11.8667002,43.4676018,540.8699951,26.8999996,-0.4,27.2999992,20.7833004,10.75,20.7833004,7.3333302,705,82,40,19.1639996,211,134,211,153,0.8991,17.2371998
174,NSW0023,Eucalyptus melliodora,-33.00137786,149.5706593,871,3432,28,67,53,20,58,12.9457998,11.2917004,43.0979996,517.5930176,25.2999992,-0.9,26.2000008,17.9167004,9.96667,19.3999996,6.53333,834,93,51,16.2348003,236,170,235,198,0.885077,9.2151403
175,NSW0025,Eucalyptus melliodora,-33.02776988,149.4436883,931,2236,30,61,50,20,74,12.5874996,9.6083298,39.7038994,511.1359863,23.8999996,-0.3,24.2000008,9.3166704,13.0832996,18.9167004,6.2333298,868,95,55,17.0053005,242,177,238,218,0.908778,9.29039
176,NSW0030,Eucalyptus melliodora,-33.43413628,149.5472441,749,2987,27,64,56,17,62,13.2582998,12.4167004,45.6495018,530.835022,26,-1.2,27.2000008,18.3833008,10.0667,19.8500004,6.6500001,711,84,40,19.2276993,214,136,214,155,0.904881,9.6799603
177,NSW0166,Eucalyptus melliodora,-33.23415337,148.850199,538,3114,32,64,51,17,49,14.9624996,12.4582996,44.6534996,554.8510132,28.1000004,0.2,27.8999996,8.96667,15.6167002,21.8833008,8.1999998,744,80,49,15.2097998,206,156,201,192,0.895514,10.5507002
