,MAT,TDiurnRng,Isotherm,TSeas,TMaxWrmM,TMinCM,TAnnRng,AveTWetQtr,AveTDQtr,AveTWrmQtr,AveTCQtr,MAP,PWetM,PDryM,PSeas,PWetQtr,PDryQtr,PWrmQtr,PColdQtr
ABC35,92,172,46,7134,287,-83,370,182,121,186,4,515,82,11,48,212,48,172,129
ABC36,92,172,46,7134,287,-83,370,182,121,186,4,515,82,11,48,212,48,172,129
ABC37,90,171,46,7131,285,-84,369,180,120,184,2,522,83,11,48,215,49,174,130
ABC38,90,171,46,7131,285,-84,369,180,120,184,2,522,83,11,48,215,49,174,130
ABC39,90,171,46,7131,285,-84,369,180,120,184,2,522,83,11,48,215,49,174,130
ABC40,90,171,46,7131,285,-84,369,180,120,184,2,522,83,11,48,215,49,174,130
ABC42,92,172,46,7134,287,-83,370,182,121,186,4,515,82,11,48,212,48,172,129
BR6,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR8,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR11,90,206,53,6841,290,-98,388,175,119,180,5,436,84,12,63,215,42,180,86
BR12,90,206,53,6841,290,-98,388,175,119,180,5,436,84,12,63,215,42,180,86
BR15,90,206,53,6842,291,-97,388,176,119,181,6,438,84,12,63,216,42,180,86
BR16,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR18,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR19,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR20,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR21,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR28,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR30,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR31,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR33,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR34,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR35,83,204,52,6766,282,-103,385,168,112,172,-1,443,87,13,64,221,45,186,84
BR37,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR39,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR41,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR42,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR45,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR46,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR47,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR48,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR49,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR50,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR51,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR54,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR55,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR56,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR58,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR59,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR60,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR61,84,204,53,6759,282,-102,384,168,113,172,0,446,87,13,63,222,45,187,85
BR64,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR65,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR66,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR67,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR68,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR70,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR72,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR73,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR75,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR76,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR77,89,205,52,6839,288,-99,387,174,118,179,4,439,84,12,63,217,42,181,86
BR102,91,206,52,6843,292,-97,389,177,121,181,6,438,83,12,62,215,42,179,87
BR104,89,206,53,6831,289,-99,388,174,118,179,4,438,84,12,63,216,42,180,86
BR105,91,206,52,6843,292,-97,389,177,121,181,6,438,83,12,62,215,42,179,87
BR106,91,206,52,6843,292,-97,389,177,121,181,6,438,83,12,62,215,42,179,87
BR107,91,206,52,6843,292,-97,389,177,121,181,6,438,83,12,62,215,42,179,87
BR108,91,206,52,6843,292,-97,389,177,121,181,6,438,83,12,62,215,42,179,87
BR123,86,205,53,6762,284,-101,385,170,115,175,2,446,86,13,62,220,44,185,87
BR124,86,205,53,6762,284,-101,385,170,115,175,2,446,86,13,62,220,44,185,87
QL1,65,195,51,6828,262,-119,381,149,95,155,-20,428,87,14,66,220,46,185,76
QL10,69,198,51,6921,268,-117,385,154,99,160,-18,411,84,14,65,212,45,178,72
QL11,69,198,51,6921,268,-117,385,154,99,160,-18,411,84,14,65,212,45,178,72
QL12,69,198,51,6921,268,-117,385,154,99,160,-18,411,84,14,65,212,45,178,72
QL2,68,198,51,6870,268,-117,385,153,98,158,-18,411,84,14,65,212,45,178,72
QL3,67,197,51,6890,267,-117,384,153,97,158,-19,417,85,14,66,215,45,180,73
QL4,70,199,51,6906,270,-117,387,155,99,161,-17,400,83,13,67,209,42,174,69
QL5,68,197,51,6904,267,-118,385,153,98,159,-19,414,85,14,66,213,45,179,73
QL6,68,197,51,6904,267,-118,385,153,98,159,-19,414,85,14,66,213,45,179,73
QL7,68,198,51,6858,267,-117,384,153,98,158,-18,411,84,14,65,212,45,178,72
QL8,68,198,51,6858,267,-117,384,153,98,158,-18,411,84,14,65,212,45,178,72
QL9,69,198,51,6921,268,-117,385,154,99,160,-18,411,84,14,65,212,45,178,72
IC2,88,204,52,7012,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
IC4,88,204,52,7012,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
IC5,88,204,52,7012,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
IC6,88,204,52,7012,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
IC7,88,204,52,7023,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
IC8,88,204,52,7023,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
IC9,88,204,52,7023,286,-105,391,174,121,180,-1,417,85,10,70,223,41,182,74
LC10,76,206,52,6913,276,-114,390,161,106,167,-11,413,84,12,67,216,42,179,74
LC11,73,204,52,6834,272,-116,388,158,103,163,-13,427,87,12,68,223,43,186,77
LC2,79,207,52,6958,280,-113,393,164,109,170,-9,405,83,11,69,213,41,176,71
LC3,79,207,52,6958,280,-113,393,164,109,170,-9,405,83,11,69,213,41,176,71
LC4,79,207,52,6958,280,-113,393,164,109,170,-9,405,83,11,69,213,41,176,71
LC5,77,206,52,6922,277,-113,390,162,107,168,-10,410,84,11,67,215,41,178,73
LC6,77,206,52,6922,277,-113,390,162,107,168,-10,410,84,11,67,215,41,178,73
LC7,77,206,52,6922,277,-113,390,162,107,168,-10,410,84,11,67,215,41,178,73
LC8,77,206,52,6922,277,-113,390,162,107,168,-10,410,84,11,67,215,41,178,73
LC9,77,206,52,6922,277,-113,390,162,107,168,-10,410,84,11,67,215,41,178,73
BNM1,96,153,41,7842,291,-80,371,190,-2,199,-2,387,69,18,49,174,60,159,60
BNM3,96,153,41,7842,291,-80,371,190,-2,199,-2,387,69,18,49,174,60,159,60
BNM4,102,158,42,7940,299,-77,376,196,2,205,2,356,64,16,51,162,54,147,54
BNM5,102,158,42,7940,299,-77,376,196,2,205,2,356,64,16,51,162,54,147,54
BNM6,102,158,42,7940,299,-77,376,196,2,205,2,356,64,16,51,162,54,147,54
BNM7,102,158,42,7940,299,-77,376,196,2,205,2,356,64,16,51,162,54,147,54
BNM8,102,158,42,7940,299,-77,376,196,2,205,2,356,64,16,51,162,54,147,54
BNM9,103,159,42,7956,301,-77,378,198,2,206,2,351,63,16,50,159,52,145,52
BNM10,103,159,42,7956,301,-77,378,198,2,206,2,351,63,16,50,159,52,145,52
BNM11,103,159,42,7956,301,-77,378,198,2,206,2,351,63,16,50,159,52,145,52
BNM12,101,158,42,7949,299,-77,376,196,2,205,2,360,65,16,50,164,54,150,54
BNM13,106,162,42,8018,306,-76,382,201,5,210,5,335,61,15,52,153,49,139,49
BNM14,106,162,42,8018,306,-76,382,201,5,210,5,335,61,15,52,153,49,139,49
BNM15,106,162,42,8018,306,-76,382,201,5,210,5,335,61,15,52,153,49,139,49
BNM16,106,162,42,8018,306,-76,382,201,5,210,5,335,61,15,52,153,49,139,49
BNM17,106,162,42,8018,306,-76,382,201,5,210,5,335,61,15,52,153,49,139,49
NMRP4,89,176,43,8047,296,-112,408,184,-16,192,-16,325,60,14,51,148,44,138,44
NMRP5,56,171,45,7143,249,-128,377,142,-35,149,-35,497,90,24,51,219,74,214,74
NMRP6,56,171,45,7143,249,-128,377,142,-35,149,-35,497,90,24,51,219,74,214,74
NMRP7,67,174,44,7330,264,-123,387,155,-27,161,-27,444,82,20,52,200,62,195,62
NMRP9,100,182,43,8218,312,-105,417,197,-7,206,-7,281,53,11,55,132,35,121,35
NMRP13,68,180,42,8385,281,-146,427,167,-44,174,-44,321,57,13,50,141,44,135,44
NMRP17,68,180,42,8385,281,-146,427,167,-44,174,-44,321,57,13,50,141,44,135,44
NMRP_U1,68,180,42,8385,281,-146,427,167,-44,174,-44,321,57,13,50,141,44,135,44
NMRR2,33,175,44,7502,234,-160,394,123,-64,129,-64,506,81,26,39,198,82,194,82
NMRR3,38,178,44,7657,241,-160,401,129,-62,135,-62,478,77,24,40,188,77,184,77
NMRR4,52,180,43,8016,261,-156,417,147,-54,153,-54,392,67,18,46,165,58,160,58
NMRR6,58,180,42,8148,268,-152,420,154,-50,161,-50,368,64,16,47,158,53,152,53
NMRR7,58,180,42,8148,268,-152,420,154,-50,161,-50,368,64,16,47,158,53,152,53
NMRR9,68,180,42,8385,281,-146,427,167,-44,174,-44,321,57,13,50,141,44,135,44
NMRR10,68,180,42,8385,281,-146,427,167,-44,174,-44,321,57,13,50,141,44,135,44
NMRR11,68,180,42,8385,281,-146,427,167,-44,174,-44,321,57,13,50,141,44,135,44
MIAA,109,169,38,9228,341,-103,444,177,155,228,-11,294,36,12,26,98,58,73,59
MIAC,109,169,38,9228,341,-103,444,177,155,228,-11,294,36,12,26,98,58,73,59
MIAG,109,169,38,9228,341,-103,444,177,155,228,-11,294,36,12,26,98,58,73,59
MIBE,104,164,37,9086,331,-103,434,171,149,221,-14,308,36,13,25,101,61,78,62
MIBM,111,168,37,9229,342,-102,444,179,156,230,-10,292,35,12,25,95,58,72,59
MIBK,104,164,37,9086,331,-103,434,171,149,221,-14,308,36,13,25,101,61,78,62
51_MIBC,74,171,41,8266,291,-126,417,174,112,181,-33,408,47,21,23,138,83,115,84
