"","RC2","RC1","RC3"
"SampleIDNSW0646",-0.337896318766864,-0.353004125304515,-2.00041314677124
"SampleIDNSW0648",-0.26971105189813,-0.5510095830062,-1.76366128173092
"SampleIDNSW0655",-0.307376640106839,-0.827738502472153,-2.82827288806847
"SampleIDNSW0658",0.321519547483114,-0.961386879678596,-2.56006222376109
"SampleIDNSW0659",0.26212437500811,-0.948202401298011,-2.32268436715211
"SampleIDNSW0661",-0.0511947631761376,-0.534368870803718,-2.49506435089019
"SampleIDNSW0669",0.102620252525089,-0.610545415016193,-2.18664203831542
"SampleIDNSW0693",0.276854662642605,-0.196184312923173,-0.915968400181425
"SampleIDNSW0696",0.0626769847586989,-0.645887668285816,-0.26089851409726
"SampleIDNSW0698",-0.141238695711213,-0.360658353579511,-1.61075935032802
"SampleIDNSW0700",-0.239431900063996,-0.374771900927268,-1.38214095017597
"SampleIDNSW0701",-0.18485565177263,-0.201298264373077,-1.17755611149453
"SampleIDNSW0703",-0.00908126848736231,-0.375631344930438,-1.0825713798415
"SampleIDNSW0704",-0.0445937362793559,-0.349798034804946,-0.806490632841637
"SampleIDNSW0735",0.348985946725723,-1.20541133845112,0.229040806563054
