Sample_ID,Site,TDiurnRng,TSeas,AveTWrmQtr,PSeas,PWrmQtr,Pops7
UTSC4,UTSC,153,8460,172,17,90,6
UTSC5,UTSC,153,8460,172,17,90,6
UTSC6,UTSC,153,8460,172,17,90,6
UTSC7,UTSC,153,8460,172,17,90,6
UTSC8,UTSC,155,8493,174,17,88,6
UTSC_U1,UTSC,160,8649,187,17,77,6
OR1,OR,168,8631,168,22,83,6
OR2,OR,168,8664,170,23,82,6
OR3,OR,168,8664,170,23,82,6
OR4,OR,168,8664,170,23,82,6
OR5,OR,168,8664,170,23,82,6
OR6,OR,165,8782,177,24,82,6
OR7,OR,165,8782,177,24,82,6
OR8,OR,165,8782,177,24,82,6
OR9,OR,165,8782,177,24,82,6
OR10,OR,165,8782,177,24,82,6
OR12,OR,151,9183,193,31,83,6
OR13,OR,151,9183,193,31,83,6
OR14,OR,150,9202,194,31,83,6
OR16,OR,146,9132,193,30,85,6
OR17,OR,146,9132,193,30,85,6
SC13,UTWR,138,8975,201,30,83,6
SC18M,UTWR,152,8139,148,17,97,6
SC2M,UTWR,138,8975,201,30,83,6
WYSR1,WYSR,166,8986,155,17,101,6
WYSR2,WYSR,166,8986,155,17,101,6
WYSR3,WYSR,168,9008,154,17,100,6
WYSR4,WYSR,168,9010,153,17,102,6
WYSR6,WYSR,168,9010,153,17,102,6
WYSR7,WYSR,168,9010,153,17,102,6
WYSR9,WYSR,169,9005,151,17,101,6
WYSR10,WYSR,169,9005,151,17,101,6
WYSR11,WYSR,169,9005,151,17,101,6
WYSR12,WYSR,169,9005,151,17,101,6
WYSR13,WYSR,169,9005,151,17,101,6
WYSR14,WYSR,169,8974,153,17,101,6
WYSR15,WYSR,169,8974,153,17,101,6
WYSR16,WYSR,169,8974,153,17,101,6
WYSR17,WYSR,168,8993,154,18,100,6
WYSR18,WYSR,168,8993,154,18,100,6
WYSR19,WYSR,168,8993,154,18,100,6
WYSR20,WYSR,168,8993,154,18,100,6
WYSR21,WYSR,168,8993,154,18,100,6
WYSR22,WYSR,168,8993,154,18,100,6
WYSR23,WYSR,168,8993,154,18,100,6
WYSR24,WYSR,168,8993,154,18,100,6
WYSR25,WYSR,166,9202,140,22,108,6
WYSR26,WYSR,166,9202,140,22,108,6
WYSR27,WYSR,166,9202,140,22,108,6
WYSR29A,WYSR,166,9214,141,22,108,6
WYSR30,WYSR,166,9202,140,22,108,6
WYSR31,WYSR,166,9202,140,22,108,6
